fuse 200 0.176
start 200 1777163655366
extract 19 0.856 44135
vb 19 0.081 0
gen 19 2.854
fuse 201 0.191
fuse 202 0.186
fuse 203 0.171
fuse 204 0.178
fuse 205 0.197
fuse 206 0.184
fuse 207 0.193
fuse 208 0.181
fuse 209 0.187
fuse 210 0.195
start 210 1777163655776
extract 20 0.926 52893
vb 20 0.098 0
gen 20 3.379
fuse 211 0.193
fuse 212 0.192
fuse 213 0.212
fuse 214 0.175
fuse 215 0.19
fuse 216 0.185
fuse 217 0.179
fuse 218 0.173
fuse 219 0.183
fuse 220 0.181
start 220 1777163656181
extract 21 0.952 56349
vb 21 0.099 0
gen 21 3.587
fuse 221 0.195
fuse 222 0.189
fuse 223 0.174
fuse 224 0.172
fuse 225 0.183
fuse 226 0.182
fuse 227 0.178
fuse 228 0.195
fuse 229 0.178
fuse 230 0.206
start 230 1777163656615
extract 22 0.998 55277
vb 22 0.121 0
gen 22 3.815
fuse 231 0.269
fuse 232 0.193
fuse 233 0.197
fuse 234 0.183
fuse 235 0.185
fuse 236 0.175
fuse 237 0.196
fuse 238 0.188
fuse 239 0.192
fuse 240 0.196
start 240 1777163657034
extract 23 0.966 55249
vb 23 0.098 0
gen 23 3.524
fuse 241 0.204
fuse 242 0.194
fuse 243 0.198
fuse 244 0.193
fuse 245 0.203
fuse 246 0.201
fuse 247 0.188
fuse 248 0.196
fuse 249 0.196
fuse 250 0.183
start 250 1777163657445
extract 24 0.971 55123
vb 24 0.093 0
gen 24 3.523
fuse 251 0.197
fuse 252 0.199
fuse 253 0.191
fuse 254 0.183
fuse 255 0.185
fuse 256 0.186
fuse 257 0.182
fuse 258 0.18
fuse 259 0.173
fuse 260 0.177
start 260 1777163657850
extract 25 0.951 57894
vb 25 0.141 0
gen 25 3.706
fuse 261 0.206
fuse 262 0.191
fuse 263 0.173
fuse 264 0.188
fuse 265 0.18
fuse 266 0.178
fuse 267 0.193
fuse 268 0.189
fuse 269 0.186
fuse 270 0.177
start 270 1777163658254
extract 26 1.029 61929
vb 26 0.127 0
gen 26 3.936
fuse 271 0.193
fuse 272 0.19
fuse 273 0.179
fuse 274 0.177
fuse 275 0.18
fuse 276 0.185
fuse 277 0.179
fuse 278 0.178
fuse 279 0.174
fuse 280 0.173
start 280 1777163658647
extract 27 1.156 61094
vb 27 0.106 0
gen 27 4.403
fuse 281 0.203
fuse 282 0.195
fuse 283 0.18
fuse 284 0.178
fuse 285 0.183
fuse 286 0.201
fuse 287 0.189
fuse 288 0.171
fuse 289 0.195
fuse 290 0.178
start 290 1777163659043
extract 28 1.044 64942
vb 28 0.111 0
gen 28 4.183
fuse 291 0.195
fuse 292 0.199
fuse 293 0.181
fuse 294 0.188
fuse 295 0.185
fuse 296 0.216
fuse 297 0.19
fuse 298 0.182
fuse 299 0.172
fuse 300 0.201
start 300 1777163659438
extract 29 1.224 64917
vb 29 0.2 0
gen 29 4.143
fuse 301 0.198
fuse 302 0.197
fuse 303 0.188
fuse 304 0.184
fuse 305 0.18
fuse 306 0.19
fuse 307 0.185
fuse 308 0.19
fuse 309 0.172
fuse 310 0.189
start 310 1777163659847
extract 30 1.057 62692
vb 30 0.135 0
gen 30 3.684
fuse 311 0.198
fuse 312 0.191
fuse 313 0.201
fuse 314 0.178
fuse 315 0.189
fuse 316 0.2
fuse 317 0.185
fuse 318 0.179
fuse 319 0.191
fuse 320 0.186
start 320 1777163660241
extract 31 1.132 58519
vb 31 0.132 0
gen 31 3.405
fuse 321 0.197
fuse 322 0.202
fuse 323 0.18
fuse 324 0.181
fuse 325 0.189
fuse 326 0.182
fuse 327 0.195
fuse 328 0.19
fuse 329 0.171
fuse 330 0.175
start 330 1777163660632
extract 32 0.924 53253
vb 32 0.096 0
gen 32 3.485
fuse 331 0.193
fuse 332 0.199
fuse 333 0.178
fuse 334 0.182
fuse 335 0.19
fuse 336 0.172
fuse 337 0.196
fuse 338 0.177
fuse 339 0.173
fuse 340 0.197
start 340 1777163661024
extract 33 0.916 49148
vb 33 0.117 0
gen 33 3.287
fuse 341 0.2
fuse 342 0.197
fuse 343 0.17
fuse 344 0.186
fuse 345 0.18
fuse 346 0.205
fuse 347 0.171
fuse 348 0.171
fuse 349 0.185
fuse 350 0.165
start 350 1777163661419
extract 34 0.937 47344
vb 34 0.127 0
gen 34 2.269
fuse 351 0.195
fuse 352 0.188
fuse 353 0.168
fuse 354 0.17
fuse 355 0.176
fuse 356 0.172
fuse 357 0.167
fuse 358 0.172
fuse 359 0.179
fuse 360 0.169
start 360 1777163661819
extract 35 0.824 43766
vb 35 0.083 0
gen 35 2.63
fuse 361 0.198
fuse 362 0.187
fuse 363 0.168
fuse 364 0.164
fuse 365 0.173
fuse 366 0.166
fuse 367 0.166
fuse 368 0.163
fuse 369 0.163
fuse 370 0.184
start 370 1777163662210
extract 36 0.902 42061
vb 36 0.08 0
gen 36 2.068
fuse 371 0.204
fuse 372 0.199
fuse 373 0.183
fuse 374 0.188
fuse 375 0.192
fuse 376 0.179
fuse 377 0.195
fuse 378 0.192
fuse 379 0.182
fuse 380 0.184
start 380 1777163662638
extract 37 0.96 43212
vb 37 0.147 0
gen 37 2.56
fuse 381 0.203
fuse 382 0.186
fuse 383 0.173
fuse 384 0.169
fuse 385 0.184
fuse 386 0.205
fuse 387 0.173
fuse 388 0.167
fuse 389 0.171
fuse 390 0.186
start 390 1777163663035
extract 38 0.867 42985
vb 38 0.086 0
gen 38 2.568
fuse 391 0.195
fuse 392 0.187
fuse 393 0.174
fuse 394 0.175
fuse 395 0.177
fuse 396 0.179
fuse 397 0.178
fuse 398 0.168
fuse 399 0.184
fuse 400 0.174
start 400 1777163663430
extract 39 0.844 44760
vb 39 0.092 0
gen 39 3.674
fuse 401 0.198
fuse 402 0.182
fuse 403 0.176
fuse 404 0.175
fuse 405 0.181
fuse 406 0.186
fuse 407 0.167
fuse 408 0.174
fuse 409 0.185
fuse 410 0.243
start 410 1777163663830
extract 40 0.885 47203
vb 40 0.098 0
gen 40 2.827
fuse 411 0.198
fuse 412 0.194
fuse 413 0.184
fuse 414 0.183
fuse 415 0.194
fuse 416 0.206
fuse 417 0.18
fuse 418 0.177
fuse 419 0.171
fuse 420 0.174
start 420 1777163664224
extract 41 0.868 47452
vb 41 0.099 0
gen 41 2.931
fuse 421 0.194
fuse 422 0.208
